rank,name,revenues,revenue_percent_change,profits,profits_percent_change,assets,market_value,change_in_rank,employees
183,Kohl's,"$19,433 ",21.80%,$938 ,-,"$15,054 ","$7,774.60 ",12,"67,000"
184,BlackRock,"$19,374 ",19.60%,"$5,901 ",19.60%,"$152,648 ","$116,186.20 ",8,"18,400"
185,Jones Lang LaSalle,"$19,367 ",16.70%,$961.60 ,138.90%,"$15,505 ","$11,945.50 ",1,"98,200"
186,Lear,"$19,263.10 ",13%,$373.90 ,135.90%,"$13,352.40 ","$8,513.10 ",-7,"160,100"
187,Lincoln National,"$19,230 ",10.30%,"$1,405 ",181.60%,"$387,301 ","$11,271.60 ",-15,"10,848"
188,Charles Schwab,"$18,996 ",56.90%,"$5,855 ",77.50%,"$667,270 ","$159,675.90 ",63,"33,400"
189,Ross Stores,"$18,916.20 ",50.90%,"$1,722.60 ",1917.50%,"$13,640.30 ","$31,741.70 ",53,"100,000"
190,Mastercard,"$18,884 ",23.40%,"$8,687 ",35.50%,"$37,669 ","$349,330.50 ",11,"24,000"
191,Genuine Parts,"$18,870.50 ",8.50%,$898.80 ,-,"$14,352.10 ","$17,888.10 ",-18,"52,000"
192,WestRock,"$18,746.10 ",6.60%,$838.30 ,-,"$29,254.30 ","$12,379 ",-22,"49,900"
193,EOG Resources,"$18,642 ",69%,"$4,664 ",-,"$38,236 ","$69,796 ",92,"2,800"
194,Cognizant Technology Solutions,"$18,507 ",11.10%,"$2,137 ",53.50%,"$17,852 ","$47,035 ",-9,"330,600"
195,Moderna,"$18,471 ",2199.10%,"$12,202 ",-,"$24,669 ","$69,424.30 ",-,"2,700"
196,Steel Dynamics,"$18,408.90 ",91.70%,"$3,214.10 ",483.50%,"$12,531.20 ","$15,811.50 ",123,"10,640"
197,HF Sinclair,"$18,389.10 ",64.40%,$558.30 ,-,"$12,916.60 ","$8,895.80 ",82,"4,208"
198,Texas Instruments,"$18,344 ",26.90%,"$7,769 ",38.90%,"$24,676 ","$169,329.60 ",12,"31,000"
199,Emerson Electric,"$18,236 ",8.60%,"$2,303 ",17.20%,"$24,715 ","$58,241.70 ",-18,"86,700"
200,WESCO International,"$18,217.50 ",47.80%,$465.40 ,362.80%,"$12,617.70 ","$6,598.50 ",45,"18,000"
201,General Mills,"$18,127 ",2.80%,"$2,339.80 ",7.30%,"$31,841.90 ","$40,781.80 ",-32,"35,000"
202,Tenneco,"$18,035 ",17.30%,$35 ,-,"$11,622 ","$1,523 ",-3,"71,000"
203,Waste Management,"$17,931 ",17.80%,"$1,816 ",21.40%,"$29,097 ","$65,802.80 ",-1,"48,500"
204,Viatris,"$17,886.30 ",49.70%,"($1,269.10)",-,"$54,842.80 ","$13,160.20 ",50,"37,000"
205,DISH Network,"$17,881.10 ",15.40%,"$2,410.60 ",36.80%,"$48,001.70 ","$16,743.10 ",-8,"14,500"
206,L3Harris Technologies,"$17,814 ",-2.10%,"$1,846 ",65%,"$34,709 ","$47,969.60 ",-43,"47,000"
207,DXC Technology,"$17,729 ",-9.40%,($149),-,"$22,038 ","$7,977.30 ",-55,"134,000"
208,Block,"$17,661.20 ",86%,$166.30 ,-22%,"$13,925.80 ","$78,655.90 ",115,"8,521"
209,Goodyear Tire & Rubber,"$17,478 ",41.90%,$764 ,-,"$21,402 ","$4,029.30 ",37,"72,000"
210,Uber Technologies,"$17,455 ",56.70%,($496),-,"$38,774 ","$69,753 ",71,"29,300"
211,Colgate-Palmolive,"$17,421 ",5.80%,"$2,166 ",-19.60%,"$15,040 ","$63,742.20 ",-23,"33,800"
212,Stanley Black & Decker,"$17,252.70 ",18.70%,"$1,689.20 ",36.90%,"$28,180 ","$22,843.30 ",-3,"71,300"
213,DuPont,"$17,160 ",-15.90%,"$6,467 ",-,"$45,707 ","$37,739.70 ",-69,"28,000"
214,Stryker,"$17,108 ",19.20%,"$1,994 ",24.70%,"$34,631 ","$100,978.10 ",-2,"46,000"
215,NextEra Energy,"$17,069 ",-5.20%,"$3,573 ",22.40%,"$140,912 ","$166,264.10 ",-49,"15,000"
216,Targa Resources,"$16,949.80 ",105.20%,$71.20 ,-,"$15,208.20 ","$17,243.80 ",148,"2,430"
217,Western Digital,"$16,922 ",1.10%,$821 ,-,"$26,132 ","$15,536.40 ",-35,"65,600"
218,PPG Industries,"$16,802 ",21.50%,"$1,439 ",35.90%,"$21,351 ","$30,951.90 ",2,"49,300"
219,American Electric Power,"$16,792 ",12.60%,"$2,488.10 ",13.10%,"$87,668.70 ","$50,338.60 ",-15,"16,688"
220,Gap,"$16,670 ",20.80%,$256 ,-,"$12,761 ","$5,206.60 ",1,"97,000"
221,BJ's Wholesale Club,"$16,667.30 ",8%,$426.70 ,1.30%,"$5,668.90 ","$9,146.90 ",-23,"34,000"
222,Reinsurance Group of America,"$16,658 ",14.10%,$617 ,48.70%,"$92,175 ","$7,354.60 ",-15,"3,500"
223,Kinder Morgan,"$16,610 ",42%,"$1,784 ",1399.20%,"$70,416 ","$42,878.10 ",39,"10,529"
